OTU	Classification	tax	Label
Otu01171	OTU1171	Slackia	Slackia (OTU1171)
Otu01172	OTU1172	Blautia	Blautia (OTU1172)
Otu01173	OTU1173	Alloprevotella	Alloprevotella (OTU1173)
Otu01174	OTU1174	Prevotellaceae	Prevotellaceae (OTU1174)
Otu01175	OTU1175	Ralstonia	Ralstonia (OTU1175)
Otu01176	OTU1176	Planctomycetaceae	Planctomycetaceae (OTU1176)
Otu01177	OTU1177	Lachnospiraceae	Lachnospiraceae (OTU1177)
Otu01178	OTU1178	Porphyromonadaceae	Porphyromonadaceae (OTU1178)
Otu01179	OTU1179	Lachnospiraceae	Lachnospiraceae (OTU1179)
Otu01180	OTU1180	Enterobacteriaceae	Enterobacteriaceae (OTU1180)
Otu01181	OTU1181	Bacteria	Bacteria (OTU1181)
Otu01182	OTU1182	Coriobacteriaceae	Coriobacteriaceae (OTU1182)
Otu01183	OTU1183	Ruminococcaceae	Ruminococcaceae (OTU1183)
Otu01184	OTU1184	Clostridium_IV	Clostridium_IV (OTU1184)
Otu01185	OTU1185	Clostridiales	Clostridiales (OTU1185)
Otu01186	OTU1186	Alphaproteobacteria	Alphaproteobacteria (OTU1186)
Otu01187	OTU1187	Ruminococcaceae	Ruminococcaceae (OTU1187)
Otu01188	OTU1188	Ruminococcaceae	Ruminococcaceae (OTU1188)
Otu01189	OTU1189	Proteobacteria	Proteobacteria (OTU1189)
Otu01190	OTU1190	Succinivibrio	Succinivibrio (OTU1190)
Otu01191	OTU1191	Clostridiales	Clostridiales (OTU1191)
Otu01192	OTU1192	Prevotella	Prevotella (OTU1192)
Otu01193	OTU1193	Clostridiales	Clostridiales (OTU1193)
Otu01194	OTU1194	Ruminococcaceae	Ruminococcaceae (OTU1194)
Otu01195	OTU1195	Ruminococcaceae	Ruminococcaceae (OTU1195)
Otu01196	OTU1196	Mobiluncus	Mobiluncus (OTU1196)
Otu01197	OTU1197	Ruminococcaceae	Ruminococcaceae (OTU1197)
Otu01198	OTU1198	Blautia	Blautia (OTU1198)
Otu01199	OTU1199	Tumebacillus	Tumebacillus (OTU1199)
Otu01200	OTU1200	Bacteroidetes	Bacteroidetes (OTU1200)
Otu01201	OTU1201	Haemophilus	Haemophilus (OTU1201)
Otu01202	OTU1202	Ruminococcaceae	Ruminococcaceae (OTU1202)
Otu01203	OTU1203	Firmicutes	Firmicutes (OTU1203)
Otu01204	OTU1204	Lachnospiraceae	Lachnospiraceae (OTU1204)
Otu01205	OTU1205	Gordonibacter	Gordonibacter (OTU1205)
Otu01206	OTU1206	Acidaminococcus	Acidaminococcus (OTU1206)
Otu01207	OTU1207	Clostridiales	Clostridiales (OTU1207)
Otu01208	OTU1208	Bacteria	Bacteria (OTU1208)
Otu01209	OTU1209	Ruminococcus2	Ruminococcus2 (OTU1209)
Otu01210	OTU1210	Jonquetella	Jonquetella (OTU1210)
Otu01211	OTU1211	Peptoniphilus	Peptoniphilus (OTU1211)
Otu01212	OTU1212	Porphyromonas	Porphyromonas (OTU1212)
Otu01213	OTU1213	Clostridiales	Clostridiales (OTU1213)
Otu01214	OTU1214	Coriobacteriaceae	Coriobacteriaceae (OTU1214)
Otu01215	OTU1215	Bacteria	Bacteria (OTU1215)
Otu01216	OTU1216	Clostridiales	Clostridiales (OTU1216)
Otu01217	OTU1217	Porphyromonadaceae	Porphyromonadaceae (OTU1217)
Otu01218	OTU1218	Bacillales	Bacillales (OTU1218)
Otu01219	OTU1219	Bifidobacterium	Bifidobacterium (OTU1219)
Otu01220	OTU1220	Ruminococcaceae	Ruminococcaceae (OTU1220)
Otu01221	OTU1221	Firmicutes	Firmicutes (OTU1221)
Otu01222	OTU1222	Ruminococcus	Ruminococcus (OTU1222)
Otu01223	OTU1223	Clostridiales	Clostridiales (OTU1223)
Otu01224	OTU1224	Firmicutes	Firmicutes (OTU1224)
Otu01225	OTU1225	Ruminococcaceae	Ruminococcaceae (OTU1225)
Otu01226	OTU1226	Phocaeicola	Phocaeicola (OTU1226)
Otu01227	OTU1227	Collinsella	Collinsella (OTU1227)
Otu01228	OTU1228	Paenibacillus	Paenibacillus (OTU1228)
Otu01229	OTU1229	Neisseria	Neisseria (OTU1229)
Otu01230	OTU1230	Odoribacter	Odoribacter (OTU1230)
Otu01231	OTU1231	Erysipelotrichaceae	Erysipelotrichaceae (OTU1231)
Otu01232	OTU1232	Bacteria	Bacteria (OTU1232)
Otu01233	OTU1233	Firmicutes	Firmicutes (OTU1233)
Otu01234	OTU1234	Ruminococcaceae	Ruminococcaceae (OTU1234)
Otu01235	OTU1235	Ruminococcaceae	Ruminococcaceae (OTU1235)
Otu01236	OTU1236	Lachnospiraceae	Lachnospiraceae (OTU1236)
Otu01237	OTU1237	Acidaminococcus	Acidaminococcus (OTU1237)
Otu01238	OTU1238	Ruminococcaceae	Ruminococcaceae (OTU1238)
Otu01239	OTU1239	Bacteroidetes	Bacteroidetes (OTU1239)
Otu01240	OTU1240	Clostridiales	Clostridiales (OTU1240)
Otu01241	OTU1241	Bacteroides	Bacteroides (OTU1241)
Otu01242	OTU1242	Clostridiales	Clostridiales (OTU1242)
Otu01243	OTU1243	Prevotella	Prevotella (OTU1243)
Otu01244	OTU1244	Ruminococcaceae	Ruminococcaceae (OTU1244)
Otu01245	OTU1245	Bacteroidetes	Bacteroidetes (OTU1245)
Otu01246	OTU1246	Ruminococcaceae	Ruminococcaceae (OTU1246)
Otu01247	OTU1247	Bacteroides	Bacteroides (OTU1247)
Otu01248	OTU1248	Olsenella	Olsenella (OTU1248)
Otu01249	OTU1249	Alphaproteobacteria	Alphaproteobacteria (OTU1249)
Otu01250	OTU1250	Ruminococcaceae	Ruminococcaceae (OTU1250)
Otu01251	OTU1251	Anaeroglobus	Anaeroglobus (OTU1251)
Otu01252	OTU1252	Bilophila	Bilophila (OTU1252)
Otu01253	OTU1253	Porphyromonadaceae	Porphyromonadaceae (OTU1253)
Otu01254	OTU1254	Peptostreptococcus	Peptostreptococcus (OTU1254)
Otu01255	OTU1255	Megamonas	Megamonas (OTU1255)
Otu01256	OTU1256	Lactobacillus	Lactobacillus (OTU1256)
Otu01257	OTU1257	Sporobacter	Sporobacter (OTU1257)
Otu01258	OTU1258	Clostridiales	Clostridiales (OTU1258)
Otu01259	OTU1259	Pedobacter	Pedobacter (OTU1259)
Otu01260	OTU1260	Massilia	Massilia (OTU1260)
Otu01261	OTU1261	Ruminococcaceae	Ruminococcaceae (OTU1261)
Otu01262	OTU1262	Lachnospiraceae	Lachnospiraceae (OTU1262)
Otu01263	OTU1263	Bacilli	Bacilli (OTU1263)
Otu01264	OTU1264	Bacteria	Bacteria (OTU1264)
Otu01265	OTU1265	Ruminococcaceae	Ruminococcaceae (OTU1265)
Otu01266	OTU1266	Lachnospiraceae	Lachnospiraceae (OTU1266)
Otu01267	OTU1267	Prevotella	Prevotella (OTU1267)
Otu01268	OTU1268	Ruminococcaceae	Ruminococcaceae (OTU1268)
Otu01269	OTU1269	Alloprevotella	Alloprevotella (OTU1269)
Otu01270	OTU1270	Ruminococcaceae	Ruminococcaceae (OTU1270)
Otu01271	OTU1271	Aerococcus	Aerococcus (OTU1271)
Otu01272	OTU1272	Bacteria	Bacteria (OTU1272)
Otu01273	OTU1273	Clostridia	Clostridia (OTU1273)
Otu01274	OTU1274	Gordonibacter	Gordonibacter (OTU1274)
Otu01275	OTU1275	Bacteria	Bacteria (OTU1275)
Otu01276	OTU1276	Bacteroides	Bacteroides (OTU1276)
Otu01277	OTU1277	Ruminococcaceae	Ruminococcaceae (OTU1277)
Otu01278	OTU1278	Blautia	Blautia (OTU1278)
Otu01279	OTU1279	Firmicutes	Firmicutes (OTU1279)
Otu01280	OTU1280	Desulfovibrio	Desulfovibrio (OTU1280)
Otu01281	OTU1281	Clostridia	Clostridia (OTU1281)
Otu01282	OTU1282	Clostridium_sensu_stricto	Clostridium_sensu_stricto (OTU1282)
Otu01283	OTU1283	Clostridiales	Clostridiales (OTU1283)
Otu01284	OTU1284	Coriobacteriaceae	Coriobacteriaceae (OTU1284)
Otu01285	OTU1285	Clostridiales	Clostridiales (OTU1285)
Otu01286	OTU1286	Bacteria	Bacteria (OTU1286)
Otu01287	OTU1287	Arthrobacter	Arthrobacter (OTU1287)
Otu01288	OTU1288	Clostridiales	Clostridiales (OTU1288)
Otu01289	OTU1289	Lachnospiraceae	Lachnospiraceae (OTU1289)
Otu01290	OTU1290	Lachnospiraceae	Lachnospiraceae (OTU1290)
Otu01291	OTU1291	Bacteroidetes	Bacteroidetes (OTU1291)
Otu01292	OTU1292	Ruminococcaceae	Ruminococcaceae (OTU1292)
Otu01293	OTU1293	Bacteria	Bacteria (OTU1293)
Otu01294	OTU1294	Firmicutes	Firmicutes (OTU1294)
Otu01295	OTU1295	Anaerococcus	Anaerococcus (OTU1295)
Otu01296	OTU1296	Anaerotruncus	Anaerotruncus (OTU1296)
Otu01297	OTU1297	Clostridiales	Clostridiales (OTU1297)
Otu01298	OTU1298	Coriobacteriaceae	Coriobacteriaceae (OTU1298)
Otu01299	OTU1299	Gp16	Gp16 (OTU1299)
Otu01300	OTU1300	Lactobacillus	Lactobacillus (OTU1300)
Otu01301	OTU1301	Bacteria	Bacteria (OTU1301)
Otu01302	OTU1302	Clostridium_sensu_stricto	Clostridium_sensu_stricto (OTU1302)
Otu01303	OTU1303	Clostridiales	Clostridiales (OTU1303)
Otu01304	OTU1304	Ruminococcaceae	Ruminococcaceae (OTU1304)
Otu01305	OTU1305	Bacteroidetes	Bacteroidetes (OTU1305)
Otu01306	OTU1306	Porphyromonadaceae	Porphyromonadaceae (OTU1306)
Otu01307	OTU1307	Clostridiales	Clostridiales (OTU1307)
Otu01308	OTU1308	Ruminococcaceae	Ruminococcaceae (OTU1308)
Otu01309	OTU1309	Bacillus	Bacillus (OTU1309)
Otu01310	OTU1310	Bacteria	Bacteria (OTU1310)
Otu01311	OTU1311	Clostridiales	Clostridiales (OTU1311)
Otu01312	OTU1312	Coriobacteriaceae	Coriobacteriaceae (OTU1312)
Otu01313	OTU1313	Firmicutes	Firmicutes (OTU1313)
Otu01314	OTU1314	Weissella	Weissella (OTU1314)
Otu01315	OTU1315	Erysipelotrichaceae	Erysipelotrichaceae (OTU1315)
Otu01316	OTU1316	Fructobacillus	Fructobacillus (OTU1316)
Otu01317	OTU1317	Ruminococcaceae	Ruminococcaceae (OTU1317)
Otu01318	OTU1318	Lactobacillus	Lactobacillus (OTU1318)
Otu01319	OTU1319	Ruminococcaceae	Ruminococcaceae (OTU1319)
Otu01320	OTU1320	Bacteria	Bacteria (OTU1320)
Otu01321	OTU1321	Clostridia	Clostridia (OTU1321)
Otu01322	OTU1322	Clostridiales	Clostridiales (OTU1322)
Otu01323	OTU1323	Nocardioides	Nocardioides (OTU1323)
Otu01324	OTU1324	Lachnospiraceae	Lachnospiraceae (OTU1324)
Otu01325	OTU1325	Flavobacteriaceae	Flavobacteriaceae (OTU1325)
Otu01326	OTU1326	Lachnospiraceae	Lachnospiraceae (OTU1326)
Otu01327	OTU1327	Thermomicrobia	Thermomicrobia (OTU1327)
Otu01328	OTU1328	Clostridiales	Clostridiales (OTU1328)
Otu01329	OTU1329	Burkholderiales	Burkholderiales (OTU1329)
Otu01330	OTU1330	Lachnospiraceae	Lachnospiraceae (OTU1330)
Otu01331	OTU1331	Lachnospiraceae	Lachnospiraceae (OTU1331)
Otu01332	OTU1332	Clostridiales	Clostridiales (OTU1332)
Otu01333	OTU1333	Bacteria	Bacteria (OTU1333)
Otu01334	OTU1334	Campylobacter	Campylobacter (OTU1334)
Otu01335	OTU1335	Bacteroides	Bacteroides (OTU1335)
Otu01336	OTU1336	Lachnospiraceae	Lachnospiraceae (OTU1336)
Otu01337	OTU1337	Clostridiales	Clostridiales (OTU1337)
Otu01338	OTU1338	Bacteria	Bacteria (OTU1338)
Otu01339	OTU1339	Ruminococcaceae	Ruminococcaceae (OTU1339)
Otu01340	OTU1340	Porphyromonadaceae	Porphyromonadaceae (OTU1340)
Otu01341	OTU1341	Phyllobacterium	Phyllobacterium (OTU1341)
Otu01342	OTU1342	Bacteria	Bacteria (OTU1342)
Otu01343	OTU1343	Veillonella	Veillonella (OTU1343)
Otu01344	OTU1344	Lachnospiraceae	Lachnospiraceae (OTU1344)
Otu01345	OTU1345	Roseburia	Roseburia (OTU1345)
Otu01346	OTU1346	Acidaminococcus	Acidaminococcus (OTU1346)
Otu01347	OTU1347	Blautia	Blautia (OTU1347)
Otu01348	OTU1348	Bacillales	Bacillales (OTU1348)
Otu01349	OTU1349	Ruminococcaceae	Ruminococcaceae (OTU1349)
Otu01350	OTU1350	Bacteria	Bacteria (OTU1350)
Otu01351	OTU1351	Firmicutes	Firmicutes (OTU1351)
Otu01352	OTU1352	Clostridiales	Clostridiales (OTU1352)
Otu01353	OTU1353	Firmicutes	Firmicutes (OTU1353)
Otu01354	OTU1354	Ruminococcaceae	Ruminococcaceae (OTU1354)
Otu01355	OTU1355	Acidobacterium	Acidobacterium (OTU1355)
Otu01356	OTU1356	Bacteria	Bacteria (OTU1356)
Otu01357	OTU1357	Prevotella	Prevotella (OTU1357)
Otu01358	OTU1358	Ruminococcaceae	Ruminococcaceae (OTU1358)
Otu01359	OTU1359	Ruminococcaceae	Ruminococcaceae (OTU1359)
Otu01360	OTU1360	Roseburia	Roseburia (OTU1360)
Otu01361	OTU1361	Spartobacteria	Spartobacteria (OTU1361)
Otu01362	OTU1362	Clostridiales	Clostridiales (OTU1362)
Otu01363	OTU1363	Bacteria	Bacteria (OTU1363)
Otu01364	OTU1364	Clostridiales	Clostridiales (OTU1364)
Otu01365	OTU1365	Ruminococcaceae	Ruminococcaceae (OTU1365)
Otu01366	OTU1366	Firmicutes	Firmicutes (OTU1366)
Otu01367	OTU1367	Clostridiales	Clostridiales (OTU1367)
Otu01368	OTU1368	Firmicutes	Firmicutes (OTU1368)
Otu01369	OTU1369	Bacteria	Bacteria (OTU1369)
Otu01370	OTU1370	Veillonella	Veillonella (OTU1370)
Otu01371	OTU1371	Ruminococcaceae	Ruminococcaceae (OTU1371)
Otu01372	OTU1372	Ruminococcaceae	Ruminococcaceae (OTU1372)
Otu01373	OTU1373	Prevotellaceae	Prevotellaceae (OTU1373)
Otu01374	OTU1374	Firmicutes	Firmicutes (OTU1374)
Otu01375	OTU1375	Bacteroidetes	Bacteroidetes (OTU1375)
Otu01376	OTU1376	Blautia	Blautia (OTU1376)
Otu01377	OTU1377	Porphyromonadaceae	Porphyromonadaceae (OTU1377)
Otu01378	OTU1378	Ruminococcaceae	Ruminococcaceae (OTU1378)
Otu01379	OTU1379	Bacteria	Bacteria (OTU1379)
Otu01380	OTU1380	Firmicutes	Firmicutes (OTU1380)
Otu01381	OTU1381	Gp16	Gp16 (OTU1381)
Otu01382	OTU1382	Firmicutes	Firmicutes (OTU1382)
Otu01383	OTU1383	Bifidobacterium	Bifidobacterium (OTU1383)
Otu01384	OTU1384	Lachnospiraceae	Lachnospiraceae (OTU1384)
Otu01385	OTU1385	Alistipes	Alistipes (OTU1385)
Otu01386	OTU1386	Murdochiella	Murdochiella (OTU1386)
Otu01387	OTU1387	Thermus	Thermus (OTU1387)
Otu01388	OTU1388	Porphyromonadaceae	Porphyromonadaceae (OTU1388)
Otu01389	OTU1389	Ruminococcaceae	Ruminococcaceae (OTU1389)
Otu01390	OTU1390	Lactobacillus	Lactobacillus (OTU1390)
Otu01391	OTU1391	Enterobacteriaceae	Enterobacteriaceae (OTU1391)
Otu01392	OTU1392	Streptococcus	Streptococcus (OTU1392)
Otu01393	OTU1393	Bacteria	Bacteria (OTU1393)
Otu01394	OTU1394	Oscillibacter	Oscillibacter (OTU1394)
Otu01395	OTU1395	Actinobacteria	Actinobacteria (OTU1395)
Otu01396	OTU1396	Bacteria	Bacteria (OTU1396)
Otu01397	OTU1397	Clostridium_IV	Clostridium_IV (OTU1397)
Otu01398	OTU1398	Clostridiales	Clostridiales (OTU1398)
Otu01399	OTU1399	Ruminococcaceae	Ruminococcaceae (OTU1399)
Otu01400	OTU1400	Bacteroides	Bacteroides (OTU1400)
Otu01401	OTU1401	Faecalibacterium	Faecalibacterium (OTU1401)
Otu01402	OTU1402	Bacteria	Bacteria (OTU1402)
Otu01403	OTU1403	Bacteria	Bacteria (OTU1403)
Otu01404	OTU1404	Bulleidia	Bulleidia (OTU1404)
Otu01405	OTU1405	Bacteria	Bacteria (OTU1405)
Otu01406	OTU1406	Clostridium_XVIII	Clostridium_XVIII (OTU1406)
Otu01407	OTU1407	Clostridiales	Clostridiales (OTU1407)
Otu01408	OTU1408	Akkermansia	Akkermansia (OTU1408)
Otu01409	OTU1409	Bacteroides	Bacteroides (OTU1409)
Otu01410	OTU1410	Pseudoflavonifractor	Pseudoflavonifractor (OTU1410)
Otu01411	OTU1411	Burkholderia	Burkholderia (OTU1411)
Otu01412	OTU1412	Ruminococcaceae	Ruminococcaceae (OTU1412)
Otu01413	OTU1413	Capnocytophaga	Capnocytophaga (OTU1413)
Otu01414	OTU1414	Bacteroides	Bacteroides (OTU1414)
Otu01415	OTU1415	Sutterella	Sutterella (OTU1415)
Otu01416	OTU1416	Veillonella	Veillonella (OTU1416)
Otu01417	OTU1417	Clostridium_IV	Clostridium_IV (OTU1417)
Otu01418	OTU1418	Anaerorhabdus	Anaerorhabdus (OTU1418)
Otu01419	OTU1419	Lachnospiraceae	Lachnospiraceae (OTU1419)
Otu01420	OTU1420	Bacteroidetes	Bacteroidetes (OTU1420)
Otu01421	OTU1421	Firmicutes	Firmicutes (OTU1421)
Otu01422	OTU1422	Oscillibacter	Oscillibacter (OTU1422)
Otu01423	OTU1423	Firmicutes	Firmicutes (OTU1423)
Otu01424	OTU1424	Megamonas	Megamonas (OTU1424)
Otu01425	OTU1425	Ruminococcaceae	Ruminococcaceae (OTU1425)
Otu01426	OTU1426	Actinomycetales	Actinomycetales (OTU1426)
Otu01427	OTU1427	Ruminococcaceae	Ruminococcaceae (OTU1427)
Otu01428	OTU1428	Phascolarctobacterium	Phascolarctobacterium (OTU1428)
Otu01429	OTU1429	Bacteria	Bacteria (OTU1429)
Otu01430	OTU1430	Dorea	Dorea (OTU1430)
Otu01431	OTU1431	Veillonellaceae	Veillonellaceae (OTU1431)
Otu01432	OTU1432	Dialister	Dialister (OTU1432)
Otu01433	OTU1433	Erysipelotrichaceae	Erysipelotrichaceae (OTU1433)
Otu01434	OTU1434	Firmicutes	Firmicutes (OTU1434)
Otu01435	OTU1435	Clostridia	Clostridia (OTU1435)
Otu01436	OTU1436	Dialister	Dialister (OTU1436)
Otu01437	OTU1437	Bacteria	Bacteria (OTU1437)
Otu01438	OTU1438	Bacteroides	Bacteroides (OTU1438)
Otu01439	OTU1439	Bacteroides	Bacteroides (OTU1439)
Otu01440	OTU1440	Olsenella	Olsenella (OTU1440)
Otu01441	OTU1441	Lachnospiraceae	Lachnospiraceae (OTU1441)
Otu01442	OTU1442	Oribacterium	Oribacterium (OTU1442)
Otu01443	OTU1443	Barnesiella	Barnesiella (OTU1443)
Otu01444	OTU1444	Ruminococcaceae	Ruminococcaceae (OTU1444)
Otu01445	OTU1445	Bacillales	Bacillales (OTU1445)
Otu01446	OTU1446	Bacteroides	Bacteroides (OTU1446)
Otu01447	OTU1447	Actinobacteria	Actinobacteria (OTU1447)
Otu01448	OTU1448	Puniceicoccaceae	Puniceicoccaceae (OTU1448)
Otu01449	OTU1449	Alkalibacterium	Alkalibacterium (OTU1449)
Otu01450	OTU1450	Lachnospiraceae	Lachnospiraceae (OTU1450)
Otu01451	OTU1451	Prevotella	Prevotella (OTU1451)
Otu01452	OTU1452	Lactobacillus	Lactobacillus (OTU1452)
Otu01453	OTU1453	Aminobacter	Aminobacter (OTU1453)
Otu01454	OTU1454	Streptococcus	Streptococcus (OTU1454)
Otu01455	OTU1455	Ruminococcaceae	Ruminococcaceae (OTU1455)
Otu01456	OTU1456	Fusobacterium	Fusobacterium (OTU1456)
Otu01457	OTU1457	Bacteria	Bacteria (OTU1457)
Otu01458	OTU1458	Faecalibacterium	Faecalibacterium (OTU1458)
Otu01459	OTU1459	Faecalibacterium	Faecalibacterium (OTU1459)
Otu01460	OTU1460	Prevotella	Prevotella (OTU1460)
Otu01461	OTU1461	Bacteria	Bacteria (OTU1461)
Otu01462	OTU1462	Eubacterium	Eubacterium (OTU1462)
Otu01463	OTU1463	Actinobacteria	Actinobacteria (OTU1463)
Otu01464	OTU1464	Prevotella	Prevotella (OTU1464)
Otu01465	OTU1465	Bacteria	Bacteria (OTU1465)
Otu01466	OTU1466	Clostridium_sensu_stricto	Clostridium_sensu_stricto (OTU1466)
Otu01467	OTU1467	Lachnospiraceae	Lachnospiraceae (OTU1467)
Otu01468	OTU1468	Dietzia	Dietzia (OTU1468)
Otu01469	OTU1469	Ureaplasma	Ureaplasma (OTU1469)
Otu01470	OTU1470	Clostridium_XlVb	Clostridium_XlVb (OTU1470)
Otu01471	OTU1471	Ruminococcaceae	Ruminococcaceae (OTU1471)
Otu01472	OTU1472	Anaerobiospirillum	Anaerobiospirillum (OTU1472)
Otu01473	OTU1473	Firmicutes	Firmicutes (OTU1473)
Otu01474	OTU1474	Campylobacter	Campylobacter (OTU1474)
Otu01475	OTU1475	Clostridiales	Clostridiales (OTU1475)
Otu01476	OTU1476	Lachnospiraceae	Lachnospiraceae (OTU1476)
Otu01477	OTU1477	Lachnospiraceae	Lachnospiraceae (OTU1477)
Otu01478	OTU1478	Clostridium_sensu_stricto	Clostridium_sensu_stricto (OTU1478)
Otu01479	OTU1479	Fusobacterium	Fusobacterium (OTU1479)
Otu01480	OTU1480	Clostridiaceae_1	Clostridiaceae_1 (OTU1480)
Otu01481	OTU1481	Planctomycetaceae	Planctomycetaceae (OTU1481)
Otu01482	OTU1482	Blautia	Blautia (OTU1482)
Otu01483	OTU1483	Bacteria	Bacteria (OTU1483)
Otu01484	OTU1484	Clostridium_IV	Clostridium_IV (OTU1484)
Otu01485	OTU1485	Firmicutes	Firmicutes (OTU1485)
Otu01486	OTU1486	Gammaproteobacteria	Gammaproteobacteria (OTU1486)
Otu01487	OTU1487	Actinobacteria	Actinobacteria (OTU1487)
Otu01488	OTU1488	Bacteria	Bacteria (OTU1488)
Otu01489	OTU1489	Veillonella	Veillonella (OTU1489)
Otu01490	OTU1490	Candidatus_Saccharibacteria	Candidatus_Saccharibacteria (OTU1490)
Otu01491	OTU1491	Sphingomonas	Sphingomonas (OTU1491)
Otu01492	OTU1492	Bacteria	Bacteria (OTU1492)
Otu01493	OTU1493	Ruminococcaceae	Ruminococcaceae (OTU1493)
Otu01494	OTU1494	Porphyromonadaceae	Porphyromonadaceae (OTU1494)
Otu01495	OTU1495	Lachnospiraceae	Lachnospiraceae (OTU1495)
Otu01496	OTU1496	Clostridia	Clostridia (OTU1496)
Otu01497	OTU1497	Bacteria	Bacteria (OTU1497)
Otu01498	OTU1498	Bacteria	Bacteria (OTU1498)
Otu01499	OTU1499	Clostridiales	Clostridiales (OTU1499)
Otu01500	OTU1500	Parabacteroides	Parabacteroides (OTU1500)
Otu01501	OTU1501	Megasphaera	Megasphaera (OTU1501)
Otu01502	OTU1502	Alphaproteobacteria	Alphaproteobacteria (OTU1502)
Otu01503	OTU1503	Lachnospiraceae	Lachnospiraceae (OTU1503)
Otu01504	OTU1504	Bacteroides	Bacteroides (OTU1504)
Otu01505	OTU1505	Planctomyces	Planctomyces (OTU1505)
Otu01506	OTU1506	Bacteroides	Bacteroides (OTU1506)
Otu01507	OTU1507	Streptococcus	Streptococcus (OTU1507)
Otu01508	OTU1508	Lachnospiraceae	Lachnospiraceae (OTU1508)
Otu01509	OTU1509	Megasphaera	Megasphaera (OTU1509)
Otu01510	OTU1510	Ruminococcaceae	Ruminococcaceae (OTU1510)
Otu01511	OTU1511	Porphyromonadaceae	Porphyromonadaceae (OTU1511)
Otu01512	OTU1512	Bifidobacteriaceae	Bifidobacteriaceae (OTU1512)
Otu01513	OTU1513	Anaerolineaceae	Anaerolineaceae (OTU1513)
Otu01514	OTU1514	Clostridiaceae_1	Clostridiaceae_1 (OTU1514)
Otu01515	OTU1515	Dorea	Dorea (OTU1515)
Otu01516	OTU1516	Ruminococcus	Ruminococcus (OTU1516)
Otu01517	OTU1517	Chryseobacterium	Chryseobacterium (OTU1517)
Otu01518	OTU1518	Fusobacterium	Fusobacterium (OTU1518)
Otu01519	OTU1519	Clostridium_XlVa	Clostridium_XlVa (OTU1519)
Otu01520	OTU1520	Betaproteobacteria	Betaproteobacteria (OTU1520)
Otu01521	OTU1521	Lachnospiraceae	Lachnospiraceae (OTU1521)
Otu01522	OTU1522	Bacteria	Bacteria (OTU1522)
Otu01523	OTU1523	Blastomonas	Blastomonas (OTU1523)
Otu01524	OTU1524	Clostridiaceae_1	Clostridiaceae_1 (OTU1524)
Otu01525	OTU1525	Clostridium_XI	Clostridium_XI (OTU1525)
Otu01526	OTU1526	Bacteria	Bacteria (OTU1526)
Otu01527	OTU1527	Rhodocyclaceae	Rhodocyclaceae (OTU1527)
Otu01528	OTU1528	Bacteroidales	Bacteroidales (OTU1528)
Otu01529	OTU1529	Clostridiales	Clostridiales (OTU1529)
Otu01530	OTU1530	Bacteria	Bacteria (OTU1530)
Otu01531	OTU1531	Bacteroidetes	Bacteroidetes (OTU1531)
Otu01532	OTU1532	Corynebacterium	Corynebacterium (OTU1532)
Otu01533	OTU1533	Bacteria	Bacteria (OTU1533)
Otu01534	OTU1534	Olsenella	Olsenella (OTU1534)
Otu01535	OTU1535	Actinobaculum	Actinobaculum (OTU1535)
Otu01536	OTU1536	Prevotella	Prevotella (OTU1536)
Otu01537	OTU1537	Firmicutes	Firmicutes (OTU1537)
Otu01538	OTU1538	Lachnospiraceae	Lachnospiraceae (OTU1538)
Otu01539	OTU1539	Ruminococcaceae	Ruminococcaceae (OTU1539)
Otu01540	OTU1540	Holdemania	Holdemania (OTU1540)
Otu01541	OTU1541	Porphyromonadaceae	Porphyromonadaceae (OTU1541)
Otu01542	OTU1542	Blautia	Blautia (OTU1542)
Otu01543	OTU1543	Bacteroides	Bacteroides (OTU1543)
Otu01544	OTU1544	Actinomycetales	Actinomycetales (OTU1544)
Otu01545	OTU1545	Acidaminococcaceae	Acidaminococcaceae (OTU1545)
Otu01546	OTU1546	Firmicutes	Firmicutes (OTU1546)
Otu01547	OTU1547	Bacteroides	Bacteroides (OTU1547)
Otu01548	OTU1548	Bifidobacterium	Bifidobacterium (OTU1548)
Otu01549	OTU1549	Ruminococcaceae	Ruminococcaceae (OTU1549)
Otu01550	OTU1550	Parasutterella	Parasutterella (OTU1550)
Otu01551	OTU1551	Veillonellaceae	Veillonellaceae (OTU1551)
Otu01552	OTU1552	Prevotella	Prevotella (OTU1552)
Otu01553	OTU1553	Firmicutes	Firmicutes (OTU1553)
Otu01554	OTU1554	Lachnospiraceae	Lachnospiraceae (OTU1554)
Otu01555	OTU1555	Anaeroglobus	Anaeroglobus (OTU1555)
Otu01556	OTU1556	Ruminococcaceae	Ruminococcaceae (OTU1556)
Otu01557	OTU1557	Coriobacteriaceae	Coriobacteriaceae (OTU1557)
Otu01558	OTU1558	Bacteroidetes	Bacteroidetes (OTU1558)
Otu01559	OTU1559	Veillonellaceae	Veillonellaceae (OTU1559)
Otu01560	OTU1560	Clostridium_XlVa	Clostridium_XlVa (OTU1560)
Otu01561	OTU1561	Oscillibacter	Oscillibacter (OTU1561)
Otu01562	OTU1562	Dialister	Dialister (OTU1562)
Otu01563	OTU1563	Gp6	Gp6 (OTU1563)
Otu01564	OTU1564	Bacteria	Bacteria (OTU1564)
Otu01565	OTU1565	Candidatus_Saccharibacteria	Candidatus_Saccharibacteria (OTU1565)
Otu01566	OTU1566	Bacteroides	Bacteroides (OTU1566)
